"number_answers_after_best","class","class2","id"
1,ordinary,ordinary,"45,692"
1,ordinary,ordinary,"55,963"
1,top_5,outstanding,"39,966"
1,ordinary,ordinary,"30,946"
1,ordinary,ordinary,"45,660"
1,top_10_15,outstanding,"41,438"
1,ordinary,ordinary,"39,082"
1,top_5,outstanding,"36,554"
1,ordinary,ordinary,"49,385"
2,top_5,outstanding,"34,341"
1,ordinary,ordinary,"39,764"
7,top_5,outstanding,"30,357"
1,ordinary,ordinary,"34,257"
1,ordinary,ordinary,"48,148"
3,top_5,outstanding,"29,100"
1,ordinary,ordinary,"47,290"
2,top_10_15,outstanding,"43,218"
1,ordinary,ordinary,"44,161"
4,top_5,outstanding,"30,608"
1,ordinary,ordinary,"55,293"
1,top_5,outstanding,"39,762"
9,top_5,outstanding,"30,116"
1,ordinary,ordinary,"54,323"
1,ordinary,ordinary,"34,601"
2,top_5,outstanding,"37,114"
1,ordinary,ordinary,"37,817"
1,ordinary,ordinary,"44,113"
1,top_5,outstanding,"31,746"
2,top_5,outstanding,"39,441"
1,ordinary,ordinary,"48,376"
3,top_5_10,outstanding,"49,506"
1,top_5_10,outstanding,"32,371"
1,ordinary,ordinary,"52,293"
1,ordinary,ordinary,"36,714"
1,ordinary,ordinary,"32,837"
1,ordinary,ordinary,"40,363"
7,top_5,outstanding,"44,774"
1,ordinary,ordinary,"43,582"
1,ordinary,ordinary,"53,894"
2,top_5,outstanding,"28,813"
1,ordinary,ordinary,"32,045"
18,top_5,outstanding,"38,085"
1,ordinary,ordinary,"47,171"
1,ordinary,ordinary,"34,146"
1,ordinary,ordinary,"34,872"
1,ordinary,ordinary,"45,143"
1,top_10_15,outstanding,"33,269"
1,top_5,outstanding,"44,763"
1,ordinary,ordinary,"29,719"
1,ordinary,ordinary,"42,992"
1,ordinary,ordinary,"32,107"
43,top_5,outstanding,"31,571"
1,ordinary,ordinary,"44,980"
1,ordinary,ordinary,"43,121"
1,ordinary,ordinary,"37,232"
1,top_5,outstanding,"45,013"
1,top_5,outstanding,"28,845"
3,top_5,outstanding,"31,521"
1,top_5_10,outstanding,"39,255"
1,ordinary,ordinary,"35,149"
1,ordinary,ordinary,"39,682"
1,ordinary,ordinary,"47,920"
1,top_5_10,outstanding,"32,714"
1,ordinary,ordinary,"51,351"
2,top_5_10,outstanding,"29,075"
1,ordinary,ordinary,"34,444"
1,ordinary,ordinary,"44,358"
1,ordinary,ordinary,"54,578"
1,ordinary,ordinary,"35,866"
1,ordinary,ordinary,"35,466"
1,ordinary,ordinary,"50,799"
5,top_5,outstanding,"33,166"
1,ordinary,ordinary,"55,604"
1,ordinary,ordinary,"33,850"
1,ordinary,ordinary,"34,977"
1,top_10_15,outstanding,"35,662"
1,top_5,outstanding,"38,860"
1,ordinary,ordinary,"45,837"
11,top_5,outstanding,"46,240"
2,top_5,outstanding,"28,802"
1,ordinary,ordinary,"49,919"
1,ordinary,ordinary,"54,848"
1,ordinary,ordinary,"34,144"
1,ordinary,ordinary,"43,914"
4,top_5,outstanding,"51,583"
1,ordinary,ordinary,"44,551"
1,top_5,outstanding,"29,385"
1,ordinary,ordinary,"35,349"
1,ordinary,ordinary,"39,188"
1,top_5,outstanding,"33,145"
1,ordinary,ordinary,"46,602"
1,ordinary,ordinary,"51,884"
1,top_10_15,outstanding,"33,425"
1,ordinary,ordinary,"38,790"
2,ordinary,ordinary,"53,276"
1,ordinary,ordinary,"35,598"
1,ordinary,ordinary,"42,377"
1,top_5_10,outstanding,"43,503"
1,top_5,outstanding,"50,717"
27,top_5,outstanding,"39,440"
1,ordinary,ordinary,"34,482"
1,ordinary,ordinary,"43,519"
1,ordinary,ordinary,"53,370"
1,top_5_10,outstanding,"44,685"
1,ordinary,ordinary,"52,835"
1,ordinary,ordinary,"43,007"
1,ordinary,ordinary,"45,539"
1,ordinary,ordinary,"51,857"
1,ordinary,ordinary,"30,143"
12,top_5,outstanding,"30,917"
1,ordinary,ordinary,"56,288"
2,ordinary,ordinary,"48,457"
1,ordinary,ordinary,"50,762"
1,ordinary,ordinary,"30,126"
1,top_5,outstanding,"34,986"
8,top_5,outstanding,"32,643"
1,ordinary,ordinary,"55,274"
1,ordinary,ordinary,"55,740"
10,top_5,outstanding,"32,073"
3,top_5_10,outstanding,"29,597"
1,ordinary,ordinary,"46,538"
1,ordinary,ordinary,"35,171"
1,ordinary,ordinary,"46,897"
3,top_5,outstanding,"37,991"
1,ordinary,ordinary,"49,526"
2,top_5,outstanding,"29,237"
1,ordinary,ordinary,"35,127"
1,top_5,outstanding,"41,874"
3,top_5,outstanding,"29,026"
1,top_5_10,outstanding,"42,226"
1,ordinary,ordinary,"49,893"
1,top_10_15,outstanding,"34,733"
1,top_5,outstanding,"36,987"
1,ordinary,ordinary,"37,076"
1,top_5,outstanding,"30,040"
1,top_10_15,outstanding,"42,425"
1,ordinary,ordinary,"34,651"
1,top_5_10,outstanding,"40,719"
1,top_5_10,outstanding,"30,650"
1,top_10_15,outstanding,"32,323"
1,top_10_15,outstanding,"35,229"
1,ordinary,ordinary,"29,262"
2,ordinary,ordinary,"48,320"
2,top_5,outstanding,"32,443"
2,top_5,outstanding,"38,118"
1,ordinary,ordinary,"29,272"
1,top_5,outstanding,"32,385"
1,ordinary,ordinary,"30,133"
5,top_5,outstanding,"44,487"
1,ordinary,ordinary,"49,705"
1,ordinary,ordinary,"36,467"
1,ordinary,ordinary,"46,334"
1,ordinary,ordinary,"30,956"
1,top_5_10,outstanding,"30,522"
1,top_5,outstanding,"35,417"
3,top_5,outstanding,"29,995"
1,ordinary,ordinary,"49,770"
1,ordinary,ordinary,"55,787"
1,ordinary,ordinary,"56,123"
1,ordinary,ordinary,"38,990"
3,ordinary,ordinary,"29,344"
1,top_5,outstanding,"30,063"
3,top_5,outstanding,"30,442"
1,ordinary,ordinary,"49,063"
1,ordinary,ordinary,"50,414"
1,ordinary,ordinary,"51,170"
1,ordinary,ordinary,"30,342"
1,ordinary,ordinary,"38,548"
3,top_5,outstanding,"35,666"
1,ordinary,ordinary,"51,024"
4,top_5,outstanding,"28,901"
1,top_5,outstanding,"29,936"
1,ordinary,ordinary,"32,771"
1,top_5,outstanding,"36,601"
1,top_5_10,outstanding,"28,830"
1,top_5_10,outstanding,"33,066"
83,top_5,outstanding,"43,702"
2,top_5,outstanding,"40,239"
1,ordinary,ordinary,"51,030"
1,ordinary,ordinary,"53,614"
1,ordinary,ordinary,"38,261"
1,top_5,outstanding,"33,299"
1,ordinary,ordinary,"43,760"
3,top_5,outstanding,"28,926"
1,ordinary,ordinary,"35,801"
2,ordinary,ordinary,"38,161"
1,ordinary,ordinary,"41,953"
1,ordinary,ordinary,"38,330"
1,ordinary,ordinary,"38,764"
1,ordinary,ordinary,"47,395"
2,top_5,outstanding,"46,937"
1,ordinary,ordinary,"52,362"
1,ordinary,ordinary,"31,938"
1,ordinary,ordinary,"29,256"
2,ordinary,ordinary,"52,203"
1,ordinary,ordinary,"53,852"
1,ordinary,ordinary,"46,260"
1,ordinary,ordinary,"33,443"
1,ordinary,ordinary,"36,426"
1,ordinary,ordinary,"41,067"
1,top_5_10,outstanding,"46,516"
3,top_5,outstanding,"29,101"
2,ordinary,ordinary,"32,496"
6,top_5,outstanding,"28,974"
1,top_5_10,outstanding,"35,017"
1,ordinary,ordinary,"40,053"
1,ordinary,ordinary,"53,078"
1,ordinary,ordinary,"33,516"
1,top_5,outstanding,"34,958"
1,ordinary,ordinary,"37,024"
1,ordinary,ordinary,"46,329"
10,top_5,outstanding,"31,007"
2,top_5,outstanding,"31,317"
1,ordinary,ordinary,"38,622"
2,top_5,outstanding,"53,928"
1,top_5,outstanding,"36,936"
1,top_5_10,outstanding,"50,183"
3,top_5,outstanding,"29,638"
1,ordinary,ordinary,"42,345"
1,ordinary,ordinary,"40,479"
1,ordinary,ordinary,"41,934"
1,ordinary,ordinary,"53,303"
1,ordinary,ordinary,"55,259"
1,ordinary,ordinary,"34,518"
1,ordinary,ordinary,"55,616"
1,ordinary,ordinary,"56,200"
1,ordinary,ordinary,"47,905"
1,ordinary,ordinary,"38,247"
1,ordinary,ordinary,"53,118"
1,top_5_10,outstanding,"30,621"
1,ordinary,ordinary,"35,242"
1,ordinary,ordinary,"33,574"
1,ordinary,ordinary,"38,201"
1,top_5_10,outstanding,"36,668"
3,top_5,outstanding,"50,576"
1,ordinary,ordinary,"48,019"
1,ordinary,ordinary,"52,496"
1,ordinary,ordinary,"32,135"
1,ordinary,ordinary,"45,912"
1,top_10_15,outstanding,"46,617"
5,top_5,outstanding,"40,141"
1,ordinary,ordinary,"44,070"
1,ordinary,ordinary,"42,429"
1,top_5_10,outstanding,"32,931"
1,ordinary,ordinary,"29,603"
1,ordinary,ordinary,"39,202"
2,top_5,outstanding,"31,273"
1,top_10_15,outstanding,"31,350"
1,ordinary,ordinary,"31,758"
4,top_5,outstanding,"44,950"
1,ordinary,ordinary,"51,464"
1,ordinary,ordinary,"39,551"
1,ordinary,ordinary,"39,738"
1,top_5_10,outstanding,"42,065"
2,top_5,outstanding,"28,866"
1,top_10_15,outstanding,"32,444"
1,top_5_10,outstanding,"36,848"
1,ordinary,ordinary,"35,088"
1,ordinary,ordinary,"31,232"
17,top_5,outstanding,"34,756"
3,top_5,outstanding,"33,125"
1,ordinary,ordinary,"44,097"
1,ordinary,ordinary,"43,884"
1,ordinary,ordinary,"44,768"
1,ordinary,ordinary,"34,888"
3,top_5,outstanding,"30,021"
5,top_5,outstanding,"32,567"
1,top_5,outstanding,"29,252"
1,ordinary,ordinary,"39,974"
1,ordinary,ordinary,"44,231"
1,ordinary,ordinary,"43,330"
1,ordinary,ordinary,"32,991"
1,ordinary,ordinary,"39,992"
1,ordinary,ordinary,"44,577"
1,ordinary,ordinary,"50,214"
1,ordinary,ordinary,"33,329"
1,ordinary,ordinary,"29,724"
2,top_5,outstanding,"32,842"
1,top_5,outstanding,"29,631"
1,top_5,outstanding,"42,621"
9,top_5,outstanding,"32,198"
1,ordinary,ordinary,"38,837"
1,ordinary,ordinary,"38,220"
1,top_5_10,outstanding,"29,175"
12,top_5,outstanding,"33,422"
10,top_5,outstanding,"37,648"
1,top_5_10,outstanding,"42,126"
1,ordinary,ordinary,"44,398"
1,top_5,outstanding,"32,240"
1,ordinary,ordinary,"44,245"
1,ordinary,ordinary,"37,506"
2,ordinary,ordinary,"41,403"
1,top_5,outstanding,"42,416"
1,ordinary,ordinary,"48,149"
1,ordinary,ordinary,"45,855"
2,ordinary,ordinary,"33,868"
3,top_10_15,outstanding,"41,289"
1,ordinary,ordinary,"50,812"
1,top_5_10,outstanding,"29,290"
2,top_5,outstanding,"34,293"
1,top_5_10,outstanding,"37,407"
3,top_5,outstanding,"34,675"
1,ordinary,ordinary,"42,060"
1,top_5,outstanding,"29,121"
3,top_5,outstanding,"29,196"
2,ordinary,ordinary,"32,843"
1,ordinary,ordinary,"32,886"
1,ordinary,ordinary,"33,999"
1,ordinary,ordinary,"37,010"
1,ordinary,ordinary,"40,490"
1,ordinary,ordinary,"40,525"
1,ordinary,ordinary,"33,121"
2,top_5,outstanding,"32,417"
1,ordinary,ordinary,"45,932"
1,ordinary,ordinary,"42,724"
14,top_5,outstanding,"32,562"
1,top_10_15,outstanding,"54,223"
1,top_5,outstanding,"55,184"
1,ordinary,ordinary,"47,385"
2,ordinary,ordinary,"45,446"
1,ordinary,ordinary,"39,660"
2,ordinary,ordinary,"32,773"
17,top_5,outstanding,"37,163"
1,ordinary,ordinary,"34,064"
1,ordinary,ordinary,"51,713"
1,ordinary,ordinary,"45,916"
1,top_5,outstanding,"35,985"
1,ordinary,ordinary,"51,908"
2,top_5,outstanding,"34,032"
1,ordinary,ordinary,"46,632"
2,top_5,outstanding,"32,478"
1,ordinary,ordinary,"36,341"
3,top_5,outstanding,"34,381"
3,top_5,outstanding,"28,908"
5,top_5,outstanding,"29,063"
1,ordinary,ordinary,"35,935"
1,ordinary,ordinary,"37,229"
1,top_5_10,outstanding,"32,944"
1,ordinary,ordinary,"35,163"
1,ordinary,ordinary,"38,714"
1,ordinary,ordinary,"45,017"
1,ordinary,ordinary,"34,101"
1,top_5,outstanding,"34,252"
1,ordinary,ordinary,"50,895"
6,top_5,outstanding,"34,933"
1,ordinary,ordinary,"35,828"
1,ordinary,ordinary,"52,737"
3,top_5,outstanding,"34,921"
2,top_5_10,outstanding,"46,161"
8,top_5,outstanding,"34,625"
1,ordinary,ordinary,"36,612"
1,ordinary,ordinary,"45,312"
1,ordinary,ordinary,"49,912"
1,ordinary,ordinary,"35,838"
1,ordinary,ordinary,"50,270"
2,top_5,outstanding,"29,760"
1,top_5,outstanding,"38,769"
2,top_5,outstanding,"47,547"
4,top_5,outstanding,"29,679"
2,top_5,outstanding,"32,101"
1,ordinary,ordinary,"36,839"
1,top_5_10,outstanding,"48,887"
1,ordinary,ordinary,"43,379"
1,ordinary,ordinary,"33,954"
1,ordinary,ordinary,"47,869"
1,ordinary,ordinary,"39,347"
3,ordinary,ordinary,"44,067"
1,top_5,outstanding,"47,378"
2,top_5,outstanding,"29,810"
2,top_5,outstanding,"34,990"
1,ordinary,ordinary,"33,035"
1,ordinary,ordinary,"37,579"
1,ordinary,ordinary,"50,636"
1,top_5,outstanding,"36,819"
1,ordinary,ordinary,"40,289"
1,ordinary,ordinary,"40,477"
1,ordinary,ordinary,"40,581"
1,ordinary,ordinary,"41,663"
1,ordinary,ordinary,"43,974"
1,ordinary,ordinary,"32,393"
2,ordinary,ordinary,"51,882"
1,ordinary,ordinary,"33,022"
1,ordinary,ordinary,"41,871"
2,ordinary,ordinary,"42,813"
1,ordinary,ordinary,"45,286"
1,top_5,outstanding,"30,352"
1,ordinary,ordinary,"44,575"
1,ordinary,ordinary,"46,597"
2,ordinary,ordinary,"37,917"
1,ordinary,ordinary,"44,637"
1,ordinary,ordinary,"31,261"
1,top_5,outstanding,"35,781"
3,top_5_10,outstanding,"45,171"
1,top_5,outstanding,"33,935"
1,ordinary,ordinary,"41,519"
1,ordinary,ordinary,"33,503"
1,ordinary,ordinary,"31,098"
1,ordinary,ordinary,"32,545"
1,ordinary,ordinary,"43,455"
1,ordinary,ordinary,"36,371"
1,top_5_10,outstanding,"29,039"
2,top_5,outstanding,"35,901"
1,ordinary,ordinary,"32,990"
8,top_5,outstanding,"30,614"
2,top_5,outstanding,"34,085"
8,top_5,outstanding,"33,352"
8,top_5,outstanding,"49,629"
1,ordinary,ordinary,"50,790"
1,ordinary,ordinary,"43,964"
1,ordinary,ordinary,"30,697"
1,top_5,outstanding,"29,334"
2,top_5_10,outstanding,"28,898"
1,ordinary,ordinary,"35,057"
1,ordinary,ordinary,"43,537"
1,top_5,outstanding,"31,179"
1,top_5_10,outstanding,"34,467"
2,top_5_10,outstanding,"39,815"
1,ordinary,ordinary,"43,177"
1,ordinary,ordinary,"54,827"
1,ordinary,ordinary,"47,903"
1,ordinary,ordinary,"51,919"
1,ordinary,ordinary,"53,138"
1,ordinary,ordinary,"36,699"
1,ordinary,ordinary,"34,592"
1,ordinary,ordinary,"38,056"
17,top_5,outstanding,"30,615"
1,ordinary,ordinary,"51,378"
41,top_5,outstanding,"33,720"
2,ordinary,ordinary,"36,919"
1,top_5_10,outstanding,"42,655"
1,ordinary,ordinary,"50,067"
5,top_5,outstanding,"28,810"
2,top_5,outstanding,"29,712"
23,top_5,outstanding,"28,869"
2,ordinary,ordinary,"53,870"
